"subject","predicate"
"http://dbpedia.org/resource/Edgar_Quinet_(Paris_Métro)","http://www.w3.org/2002/07/owl#sameAs"
"http://dbpedia.org/resource/Edgar_Quinet_(Paris_Métro)","http://www.w3.org/2002/07/owl#sameAs"
"http://dbpedia.org/resource/Edgar_Quinet_(Paris_Métro)","http://www.w3.org/2002/07/owl#sameAs"
"http://dbpedia.org/resource/Edgar_Quinet_(Paris_Métro)","http://www.w3.org/2002/07/owl#sameAs"
"http://dbpedia.org/resource/Edgar_Quinet_(Paris_Métro)","http://www.w3.org/2002/07/owl#sameAs"
"http://dbpedia.org/resource/Edgar_Quinet_(Paris_Métro)","http://www.w3.org/2002/07/owl#sameAs"
"http://dbpedia.org/resource/Edgar_Quinet_(Paris_Métro)","http://www.w3.org/2002/07/owl#sameAs"
"http://dbpedia.org/resource/Edgar_Quinet_(Paris_Métro)","http://www.w3.org/2002/07/owl#sameAs"
"http://dbpedia.org/resource/Edgar_Quinet_(Paris_Métro)","http://www.w3.org/2002/07/owl#sameAs"
"http://dbpedia.org/resource/Edgar_Quinet_(Paris_Métro)","http://www.w3.org/2002/07/owl#sameAs"
"http://dbpedia.org/resource/Edgar_Quinet_(Paris_Métro)","http://www.w3.org/2002/07/owl#sameAs"
"http://dbpedia.org/resource/Edgar_Quinet_(Paris_Métro)","http://www.w3.org/2002/07/owl#sameAs"
"http://dbpedia.org/resource/Edgar_Quinet_(Paris_Métro)","http://www.w3.org/2002/07/owl#sameAs"
"http://dbpedia.org/resource/Edgar_Quinet_(Paris_Métro)","http://www.w3.org/2002/07/owl#sameAs"
"http://dbpedia.org/resource/Edgar_Quinet_(Paris_Métro)","http://www.w3.org/2002/07/owl#sameAs"
"http://dbpedia.org/resource/Edgar_Quinet_(Paris_Métro)","http://www.w3.org/2002/07/owl#sameAs"
"http://dbpedia.org/resource/Edgar_Quinet_(Paris_Métro)","http://www.w3.org/2002/07/owl#sameAs"
"http://dbpedia.org/resource/Edgar_Quinet_(Paris_Métro)","http://dbpedia.org/property/wikiPageUsesTemplate"
"http://dbpedia.org/resource/Edgar_Quinet_(Paris_Métro)","http://dbpedia.org/property/wikiPageUsesTemplate"
"http://dbpedia.org/resource/Edgar_Quinet_(Paris_Métro)","http://dbpedia.org/property/wikiPageUsesTemplate"
"http://dbpedia.org/resource/Edgar_Quinet_(Paris_Métro)","http://dbpedia.org/property/wikiPageUsesTemplate"
"http://dbpedia.org/resource/Edgar_Quinet_(Paris_Métro)","http://dbpedia.org/property/wikiPageUsesTemplate"
"http://dbpedia.org/resource/Edgar_Quinet_(Paris_Métro)","http://dbpedia.org/property/wikiPageUsesTemplate"
"http://dbpedia.org/resource/Edgar_Quinet_(Paris_Métro)","http://dbpedia.org/property/wikiPageUsesTemplate"
"http://dbpedia.org/resource/Edgar_Quinet_(Paris_Métro)","http://dbpedia.org/property/wikiPageUsesTemplate"
"http://dbpedia.org/resource/Edgar_Quinet_(Paris_Métro)","http://dbpedia.org/property/wikiPageUsesTemplate"
"http://dbpedia.org/resource/Edgar_Quinet_(Paris_Métro)","http://dbpedia.org/property/wikiPageUsesTemplate"
"http://dbpedia.org/resource/Edgar_Quinet_(Paris_Métro)","http://dbpedia.org/property/wikiPageUsesTemplate"
"http://dbpedia.org/resource/Edgar_Quinet_(Paris_Métro)","http://dbpedia.org/ontology/thumbnail"
"http://dbpedia.org/resource/Edgar_Quinet_(Paris_Métro)","http://dbpedia.org/property/address"
"http://dbpedia.org/resource/Edgar_Quinet_(Paris_Métro)","http://dbpedia.org/property/address"
"http://dbpedia.org/resource/Edgar_Quinet_(Paris_Métro)","http://dbpedia.org/property/borough"
"http://dbpedia.org/resource/Edgar_Quinet_(Paris_Métro)","http://dbpedia.org/property/caption"
"http://dbpedia.org/resource/Edgar_Quinet_(Paris_Métro)","http://dbpedia.org/property/country"
"http://dbpedia.org/resource/Edgar_Quinet_(Paris_Métro)","http://dbpedia.org/property/mapType"
"http://dbpedia.org/resource/Edgar_Quinet_(Paris_Métro)","http://dbpedia.org/property/opened"
"http://dbpedia.org/resource/Edgar_Quinet_(Paris_Métro)","http://dbpedia.org/property/operator"
"http://dbpedia.org/resource/Edgar_Quinet_(Paris_Métro)","http://dbpedia.org/property/owned"
"http://dbpedia.org/resource/Edgar_Quinet_(Paris_Métro)","http://dbpedia.org/property/symbol"
"http://dbpedia.org/resource/Edgar_Quinet_(Paris_Métro)","http://dbpedia.org/property/symbolLocation"
"http://dbpedia.org/resource/Edgar_Quinet_(Paris_Métro)","http://dbpedia.org/property/type"
"http://dbpedia.org/resource/Edgar_Quinet_(Paris_Métro)","http://dbpedia.org/property/zone"
"http://dbpedia.org/resource/Edgar_Quinet_(Paris_Métro)","http://www.georss.org/georss/point"
"http://dbpedia.org/resource/Edgar_Quinet_(Paris_Métro)","http://dbpedia.org/ontology/abstract"
"http://dbpedia.org/resource/Edgar_Quinet_(Paris_Métro)","http://dbpedia.org/ontology/abstract"
"http://dbpedia.org/resource/Edgar_Quinet_(Paris_Métro)","http://dbpedia.org/ontology/abstract"
"http://dbpedia.org/resource/Edgar_Quinet_(Paris_Métro)","http://dbpedia.org/ontology/abstract"
"http://dbpedia.org/resource/Edgar_Quinet_(Paris_Métro)","http://dbpedia.org/ontology/abstract"
"http://dbpedia.org/resource/Edgar_Quinet_(Paris_Métro)","http://dbpedia.org/ontology/abstract"
"http://dbpedia.org/resource/Edgar_Quinet_(Paris_Métro)","http://dbpedia.org/ontology/abstract"
